satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,16440.0,2,300.0,420.0,-89.4786520646885,-89.4786520646885,-388.16132461563353,-1552.6452984625341,0.8622072907164693,14.96132951915578
2,16070.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
3,15700.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
4,15330.0,2,300.0,420.0,-89.47865206561983,-89.47865206561983,-388.1613246196736,-1552.6452984786945,0.8622072916477919,14.961329535316429
5,14960.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
6,14590.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
7,14220.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
8,13850.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
9,13480.0,2,300.0,420.0,-89.47866835165769,-89.47866835165769,-388.1613952699722,-1552.6455810798889,0.8622092604637146,14.96136369898257
10,13140.0,2,300.0,420.0,-89.55249989684671,-89.55249989684671,-388.48168316388313,-1553.9267326555325,0.8778736488893628,15.233178070372158
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,13130.0,2,300.0,420.0,-89.55156882666051,-89.55156882666051,-388.4776440974994,-1553.9105763899977,0.877829285338521,15.23240825405875
13,13470.0,2,300.0,420.0,-89.47866789624095,-89.47866789624095,-388.1613932943334,-1552.6455731773335,0.8622092353180051,14.961363262643264
14,13840.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
15,14210.0,2,300.0,420.0,-89.47865207493305,-89.47865207493305,-388.1613246600752,-1552.6452986403008,0.8622073009610176,14.961329696922874
16,14580.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
17,14950.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
18,15320.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
19,15690.0,2,300.0,420.0,-89.47865206561983,-89.47865206561983,-388.1613246196736,-1552.6452984786945,0.8622072916477919,14.961329535316429
20,16060.0,2,300.0,420.0,-89.47865208145231,-89.47865208145231,-388.1613246883564,-1552.6452987534255,0.8622073074802756,14.961329810047388
21,16430.0,2,300.0,420.0,-89.47865206375718,-89.47865206375718,-388.1613246115934,-1552.6452984463735,0.8622072897851467,14.96132950299514
