gap_id,e_max_m,rms_m
1,0.5407292415008794,0.48595088487160976
2,0.540725051445153,0.48723406659883156
3,0.5407215115704876,0.48851406245146206
4,0.5407180680189424,0.4897908493580799
5,0.5407142391749166,0.4910638560185132
6,0.5407118070161329,0.4923344883310456
7,0.5407070871832457,0.4936002748192992
8,0.542737674879059,0.49581012437736327
9,9.716937797042783,5.315255202692634
10,1.202073128683197,0.5693284174684778
11,1.1898371717128429,0.5777888717182251
12,9.600874703371835,5.253507338923154
13,0.5426824868342709,0.4958181306084341
14,0.5407069959631815,0.49363477031091696
15,0.5407113305035881,0.49236864464168323
16,0.5407141479548524,0.4910981747260996
17,0.5407178804757581,0.48982522662603445
18,0.5407218297236841,0.4885489437982152
19,0.5407249361443088,0.4872683588871512
20,0.5407297282195361,0.4859857159363908
