satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,13130.0,13130.0,13250.0,L,H
10,13140.0,13140.0,13260.0,L,H
13,13470.0,13470.0,13590.0,L,H
9,13480.0,13480.0,13600.0,L,H
12,13550.0,13550.0,13670.0,H,L
10,13560.0,13560.0,13680.0,H,L
14,13840.0,13840.0,13960.0,L,H
8,13850.0,13850.0,13970.0,L,H
13,13890.0,13890.0,14010.0,H,L
9,13900.0,13900.0,14020.0,H,L
15,14210.0,14210.0,14330.0,L,H
7,14220.0,14220.0,14340.0,L,H
14,14260.0,14260.0,14380.0,H,L
8,14270.0,14270.0,14390.0,H,L
16,14580.0,14580.0,14700.0,L,H
6,14590.0,14590.0,14710.0,L,H
15,14630.0,14630.0,14750.0,H,L
7,14640.0,14640.0,14760.0,H,L
17,14950.0,14950.0,15070.0,L,H
5,14960.0,14960.0,15080.0,L,H
16,15000.0,15000.0,15120.0,H,L
6,15010.0,15010.0,15130.0,H,L
18,15320.0,15320.0,15440.0,L,H
4,15330.0,15330.0,15450.0,L,H
17,15370.0,15370.0,15490.0,H,L
5,15380.0,15380.0,15500.0,H,L
19,15690.0,15690.0,15810.0,L,H
3,15700.0,15700.0,15820.0,L,H
18,15740.0,15740.0,15860.0,H,L
4,15750.0,15750.0,15870.0,H,L
20,16060.0,16060.0,16180.0,L,H
2,16070.0,16070.0,16190.0,L,H
19,16110.0,16110.0,16230.0,H,L
3,16120.0,16120.0,16240.0,H,L
21,16430.0,16430.0,16550.0,L,H
1,16440.0,16440.0,16560.0,L,H
20,16480.0,16480.0,16600.0,H,L
2,16490.0,16490.0,16610.0,H,L
21,16850.0,16850.0,16970.0,H,L
1,16860.0,16860.0,16980.0,H,L
