gap_id,e_max_m,rms_m
1,30.356052680465748,12.893137781465619
2,30.37409400086923,15.49622827685983
3,30.392108736091554,17.727920378978336
4,30.42475187092432,19.72454956362189
5,30.442707656397115,21.53609354882841
6,30.475274118026245,23.223369344401426
7,30.49317114639575,24.792548004560057
8,30.517056390498535,26.276020218822552
9,46.678186476795894,33.184569410844645
10,38.316186082372404,35.4531268380813
11,38.46822182605323,35.4418580182298
12,46.4385882109518,33.102514325318005
13,30.516842269305503,26.279996600379075
14,30.493139364869155,24.79686260492575
15,30.47524204753029,23.227972722727948
16,30.442673466792517,21.541049267390136
17,30.4247161401498,19.729958229233894
18,30.392080325874165,17.733933105605654
19,30.374059811264633,15.503099881405305
20,30.35601964673859,12.901393150065113
