satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,37420.0,37420.0,37540.0,L,H
10,37570.0,37570.0,37690.0,L,H
12,37840.0,37840.0,37960.0,H,L
10,37990.0,37990.0,38110.0,H,L
13,52770.0,52770.0,52890.0,L,H
9,52830.0,52830.0,52950.0,L,H
13,53190.0,53190.0,53310.0,H,L
9,53250.0,53250.0,53370.0,H,L
14,73630.0,73630.0,73750.0,L,H
8,73690.0,73690.0,73810.0,L,H
14,74050.0,74050.0,74170.0,H,L
8,74110.0,74110.0,74230.0,H,L
15,94470.0,94470.0,94590.0,L,H
7,94530.0,94530.0,94650.0,L,H
15,94890.0,94890.0,95010.0,H,L
7,94950.0,94950.0,95070.0,H,L
16,115290.0,115290.0,115410.0,L,H
6,115350.0,115350.0,115470.0,L,H
16,115710.0,115710.0,115830.0,H,L
6,115770.0,115770.0,115890.0,H,L
17,136080.0,136080.0,136200.0,L,H
5,136140.0,136140.0,136260.0,L,H
17,136500.0,136500.0,136620.0,H,L
5,136560.0,136560.0,136680.0,H,L
18,156850.0,156850.0,156970.0,L,H
4,156910.0,156910.0,157030.0,L,H
18,157270.0,157270.0,157390.0,H,L
4,157330.0,157330.0,157450.0,H,L
19,177590.0,177590.0,177710.0,L,H
3,177650.0,177650.0,177770.0,L,H
19,178010.0,178010.0,178130.0,H,L
3,178070.0,178070.0,178190.0,H,L
20,198310.0,198310.0,198430.0,L,H
2,198370.0,198370.0,198490.0,L,H
20,198730.0,198730.0,198850.0,H,L
2,198790.0,198790.0,198910.0,H,L
21,219010.0,219010.0,219130.0,L,H
1,219070.0,219070.0,219190.0,L,H
21,219430.0,219430.0,219550.0,H,L
1,219490.0,219490.0,219610.0,H,L
