satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,23820.0,23820.0,23940.0,L,H
10,23940.0,23940.0,24060.0,L,H
12,24240.0,24240.0,24360.0,H,L
10,24360.0,24360.0,24480.0,H,L
13,28070.0,28070.0,28190.0,L,H
9,28120.0,28120.0,28240.0,L,H
13,28490.0,28490.0,28610.0,H,L
9,28540.0,28540.0,28660.0,H,L
14,36210.0,36210.0,36330.0,L,H
8,36260.0,36260.0,36380.0,L,H
14,36630.0,36630.0,36750.0,H,L
8,36680.0,36680.0,36800.0,H,L
15,44340.0,44340.0,44460.0,L,H
7,44390.0,44390.0,44510.0,L,H
15,44760.0,44760.0,44880.0,H,L
7,44810.0,44810.0,44930.0,H,L
16,52460.0,52460.0,52580.0,L,H
6,52510.0,52510.0,52630.0,L,H
16,52880.0,52880.0,53000.0,H,L
6,52930.0,52930.0,53050.0,H,L
17,60580.0,60580.0,60700.0,L,H
5,60630.0,60630.0,60750.0,L,H
17,61000.0,61000.0,61120.0,H,L
5,61050.0,61050.0,61170.0,H,L
18,68690.0,68690.0,68810.0,L,H
4,68740.0,68740.0,68860.0,L,H
18,69110.0,69110.0,69230.0,H,L
4,69160.0,69160.0,69280.0,H,L
19,76790.0,76790.0,76910.0,L,H
3,76840.0,76840.0,76960.0,L,H
19,77210.0,77210.0,77330.0,H,L
3,77260.0,77260.0,77380.0,H,L
20,84880.0,84880.0,85000.0,L,H
2,84930.0,84930.0,85050.0,L,H
20,85300.0,85300.0,85420.0,H,L
2,85350.0,85350.0,85470.0,H,L
