satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
2,84930.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
3,76840.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
4,68740.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
5,60630.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
6,52510.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
7,44390.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
8,36260.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
9,28120.0,2,300.0,420.0,-89.47866638097912,-89.47866638097912,-388.1613867209911,-1552.6455468839645,0.8622072897851467,14.961329503058346
10,23940.0,2,300.0,420.0,-89.53683440200984,-89.53683440200984,-388.4137248355212,-1553.6548993420847,0.862208154052496,14.961344756924111
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,23820.0,2,300.0,420.0,-89.53594768047333,-89.53594768047333,-388.4098781575946,-1553.6395126303785,0.8622081391513348,14.961344494439293
13,28070.0,2,300.0,420.0,-89.47866595722735,-89.47866595722735,-388.1613848827178,-1552.6455395308712,0.8622072963044047,14.961329616180958
14,36210.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
15,44340.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
16,52460.0,2,300.0,420.0,-89.4786520646885,-89.4786520646885,-388.16132461563353,-1552.6452984625341,0.8622072907164693,14.96132951915578
17,60580.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
18,68690.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
19,76790.0,2,300.0,420.0,-89.4786520646885,-89.4786520646885,-388.16132461563353,-1552.6452984625341,0.8622072907164693,14.96132951915578
20,84880.0,2,300.0,420.0,-89.47865207493305,-89.47865207493305,-388.1613246600752,-1552.6452986403008,0.8622073009610176,14.961329696922874
21,,0,0.0,0.0,-88.61644477397203,-88.61644477397203,-384.4209922358446,-1537.6839689433784,0.0,0.0
