satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,156070.0,2,300.0,420.0,-267.1174642248079,-267.1174642248079,-1158.7946821281016,-4635.178728512406,0.864826625213027,15.007567768256159
2,141670.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
3,127260.0,2,300.0,420.0,-267.1174642276019,-267.1174642276019,-1158.7946821402227,-4635.178728560891,0.8648266280069947,15.007567816740636
4,112830.0,2,300.0,420.0,-267.11746422946453,-267.11746422946453,-1158.7946821483033,-4635.178728593213,0.8648266298696399,15.007567849063618
5,98390.0,2,300.0,420.0,-267.11746422201395,-267.11746422201395,-1158.7946821159803,-4635.178728463921,0.8648266224190593,15.007567719771686
6,83930.0,2,300.0,420.0,-267.1174642285332,-267.1174642285332,-1158.794682144263,-4635.178728577052,0.8648266289383173,15.007567832902126
7,69460.0,2,300.0,420.0,-267.1174642285332,-267.1174642285332,-1158.794682144263,-4635.178728577052,0.8648266289383173,15.007567832902126
8,54970.0,2,300.0,420.0,-267.11746422201395,-267.11746422201395,-1158.7946821159803,-4635.178728463921,0.8648266224190593,15.007567719771686
9,40470.0,2,300.0,420.0,-267.1174785941839,-267.1174785941839,-1158.794744467016,-4635.178977868064,0.8648266242817044,15.007567752158307
10,30750.0,2,300.0,420.0,-267.17582332435995,-267.17582332435995,-1159.0478624289794,-4636.191449715918,0.8648274950683117,15.007583121523501
11,,0,0.0,0.0,-267.1792330266908,-267.1792330266908,-1159.0626548002892,-4636.250619201157,0.0,0.0
12,30620.0,2,300.0,420.0,-267.1749339066446,-267.1749339066446,-1159.0440038525376,-4636.17601541015,0.8648274764418602,15.007582794355038
13,40420.0,2,300.0,420.0,-267.1174781695008,-267.1174781695008,-1158.7947426246058,-4635.178970498423,0.864826631732285,15.007567881448326
14,54920.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
15,69410.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
16,83880.0,2,300.0,420.0,-267.11746422667056,-267.11746422667056,-1158.794682136182,-4635.178728544728,0.8648266270756721,15.007567800579144
17,98340.0,2,300.0,420.0,-267.11746422201395,-267.11746422201395,-1158.7946821159803,-4635.178728463921,0.8648266224190593,15.007567719771686
18,112780.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
19,127210.0,2,300.0,420.0,-267.11746422573924,-267.11746422573924,-1158.794682132142,-4635.178728528568,0.8648266261443496,15.007567784417652
20,141620.0,2,300.0,420.0,-267.1174642229453,-267.1174642229453,-1158.7946821200208,-4635.178728480083,0.8648266233503819,15.007567735933174
21,156020.0,2,300.0,420.0,-267.1174642313272,-267.1174642313272,-1158.7946821563842,-4635.178728625537,0.864826631732285,15.007567881386603
