satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,18230.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
2,17760.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
3,17290.0,2,300.0,420.0,-89.47865206748247,-89.47865206748247,-388.16132462775397,-1552.6452985110159,0.862207293510437,14.961329567637716
4,16820.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
5,16350.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
6,15880.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
7,15410.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
8,14940.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
9,14470.0,2,300.0,420.0,-89.47866638377309,-89.47866638377309,-388.1613867331116,-1552.6455469324465,0.8622072925791144,14.961329551540278
10,14030.0,2,300.0,420.0,-89.53732761833817,-89.53732761833817,-388.4158644523968,-1553.6634578095873,0.8627013703808188,14.969903224426782
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,14010.0,2,300.0,420.0,-89.53652862552553,-89.53652862552553,-388.41239834957906,-1553.6495933983163,0.8627890842035413,14.971425262377
13,14450.0,2,300.0,420.0,-89.47866595443338,-89.47866595443338,-388.1613848705973,-1552.6455394823893,0.862207293510437,14.961329567699021
14,14920.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
15,15390.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
16,15860.0,2,300.0,420.0,-89.47865207400173,-89.47865207400173,-388.1613246560351,-1552.6452986241404,0.862207300029695,14.96132968076223
17,16330.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
18,16800.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
19,17270.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
20,17740.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
21,18210.0,2,300.0,420.0,-89.47865206934512,-89.47865206934512,-388.1613246358343,-1552.6452985433373,0.8622072953730822,14.961329599959004
