satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,14010.0,14010.0,14130.0,L,H
10,14030.0,14030.0,14150.0,L,H
12,14430.0,14430.0,14550.0,H,L
10,14450.0,14450.0,14570.0,H,L
13,14450.0,14450.0,14570.0,L,H
9,14470.0,14470.0,14590.0,L,H
13,14870.0,14870.0,14990.0,H,L
9,14890.0,14890.0,15010.0,H,L
14,14920.0,14920.0,15040.0,L,H
8,14940.0,14940.0,15060.0,L,H
14,15340.0,15340.0,15460.0,H,L
8,15360.0,15360.0,15480.0,H,L
15,15390.0,15390.0,15510.0,L,H
7,15410.0,15410.0,15530.0,L,H
15,15810.0,15810.0,15930.0,H,L
7,15830.0,15830.0,15950.0,H,L
16,15860.0,15860.0,15980.0,L,H
6,15880.0,15880.0,16000.0,L,H
16,16280.0,16280.0,16400.0,H,L
6,16300.0,16300.0,16420.0,H,L
17,16330.0,16330.0,16450.0,L,H
5,16350.0,16350.0,16470.0,L,H
17,16750.0,16750.0,16870.0,H,L
5,16770.0,16770.0,16890.0,H,L
18,16800.0,16800.0,16920.0,L,H
4,16820.0,16820.0,16940.0,L,H
18,17220.0,17220.0,17340.0,H,L
4,17240.0,17240.0,17360.0,H,L
19,17270.0,17270.0,17390.0,L,H
3,17290.0,17290.0,17410.0,L,H
19,17690.0,17690.0,17810.0,H,L
3,17710.0,17710.0,17830.0,H,L
20,17740.0,17740.0,17860.0,L,H
2,17760.0,17760.0,17880.0,L,H
20,18160.0,18160.0,18280.0,H,L
2,18180.0,18180.0,18300.0,H,L
21,18210.0,18210.0,18330.0,L,H
1,18230.0,18230.0,18350.0,L,H
21,18630.0,18630.0,18750.0,H,L
1,18650.0,18650.0,18770.0,H,L
