case,h_on_m_s2,h_off_m_s2,e_max_m,rms_m,high_stable_total_h,high_equivalent_total_h,switch_count,mean_a_loss_m,extra_mean_a_loss_vs_low_m,extra_max_a_loss_vs_low_m,energy_loss_J,extra_energy_loss_J,reached_count,range_km,speed_left_m_s,speed_right_m_s,first_unreached_left,first_unreached_right,distal_equivalent_h,distal_switch_count,distal_extra_loss_sum_m
controlled_disturbed,1.5e-07,1.4e-07,12.42389825506127,5.991770632049989,1.6666666666666667,2.3333333333333335,40,89.48708482601103,0.8211498872953511,0.8622081531211734,32608.624162279986,299.22662245476613,20,1000.0,20.26340711406774,20.26340711406773,,,1.6333333333333333,28,12.07090216036886
controlled_undisturbed,1.5e-07,1.4e-07,2.433593283297092e-07,8.668442301625674e-08,0.0,0.0,0,88.61644477397203,-0.04949016474364769,0.0,32291.363347810955,-18.034192014279093,0,0.0,,,10,12,0.0,0,0.0
all_low_drag_baseline,1.5e-07,1.4e-07,108.45358061691567,18.328359828216048,0.0,0.0,0,88.66593493871568,0.0,0.0,32309.397539825233,0.0,0,0.0,,,10,12,0.0,0,0.0
