case,h_on_m_s2,h_off_m_s2,e_max_m,rms_m,high_stable_total_h,high_equivalent_total_h,switch_count,mean_a_loss_m,extra_mean_a_loss_vs_low_m,extra_max_a_loss_vs_low_m,energy_loss_J,extra_energy_loss_J,reached_count,range_km,speed_left_m_s,speed_right_m_s,first_unreached_left,first_unreached_right,distal_equivalent_h,distal_switch_count,distal_extra_loss_sum_m,nondominated_e_max_vs_loss
h_on_1.000e-07,1e-07,9.000000000000001e-08,9.716937797042783,1.7372345968196334,1.6666666666666667,2.3333333333333335,40,89.48857485219126,0.8226399134755844,0.8778736488893628,32609.167127179277,299.7695873540595,20,1000.0,270.2702702702705,270.2702702702703,,,1.6333333333333333,28,12.070902157574892,False
h_on_1.300e-07,1.3e-07,1.2000000000000002e-07,7.983909750170592,1.690456588411375,1.6666666666666667,2.3333333333333335,40,89.48713597677471,0.8212010380590246,0.8627890842035413,32608.642801596234,299.2452617710098,20,1000.0,212.7659574468082,212.76595744680802,,,1.6333333333333333,28,12.070902158506215,False
h_on_1.380e-07,1.38e-07,1.28e-07,7.952733327488299,2.592460778141522,1.6666666666666667,2.3333333333333335,40,89.48708482587799,0.8211498871623051,0.8622081596404314,32608.6241622315,299.2266224062842,20,1000.0,88.71954231446676,88.71954231446682,,,1.6333333333333333,28,12.070902141742408,True
controlled_disturbed,1.5e-07,1.4e-07,12.42389825506127,5.991770632049989,1.6666666666666667,2.3333333333333335,40,89.48708482601103,0.8211498872953511,0.8622081531211734,32608.624162279986,299.22662245476613,20,1000.0,20.26340711406774,20.26340711406773,,,1.6333333333333333,28,12.07090216036886,False
h_on_1.600e-07,1.6e-07,1.5000000000000002e-07,17.393292017192106,7.909536640737982,1.5,2.1,36,89.40496984399145,0.7390349052757734,0.862208154052496,32578.70150253061,269.3039627053862,18,900.0,12.332621670279064,12.332621670279066,1,21,1.4,24,10.346487543545663,True
h_on_1.800e-07,1.8e-07,1.7000000000000001e-07,27.347603360789105,10.339129031699018,0.8333333333333334,1.1666666666666667,20,89.07650992318634,0.41057498447064844,0.8622081596404314,32459.010866183446,149.61332635821222,10,500.0,,,5,17,0.4666666666666667,8,3.448829191736877,True
h_on_2.000e-07,2e-07,1.9e-07,37.3177482025527,12.168434857435049,0.5,0.7,12,88.91227996149766,0.2463450227819738,0.8622081549838185,32399.1655475412,89.76800771596652,6,300.0,,,7,15,0.0,0,0.0,True
