satellite_id,first_switch_start_s,switch_count,high_stable_s,high_equivalent_s,delta_a_m,delta_altitude_m,delta_specific_energy_J_kg,delta_energy_J,extra_a_loss_vs_low_m,extra_energy_loss_vs_low_J
1,25930.0,2,300.0,420.0,-89.47865207586437,-89.47865207586437,-388.1613246641154,-1552.6452986564616,0.8622073018923402,14.961329713083519
2,24810.0,2,300.0,420.0,-89.47865207027644,-89.47865207027644,-388.1613246398744,-1552.6452985594976,0.8622072963044047,14.96132961611965
3,23690.0,2,300.0,420.0,-89.4786520767957,-89.4786520767957,-388.1613246681556,-1552.6452986726224,0.8622073028236628,14.961329729244165
4,22560.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
5,21430.0,2,300.0,420.0,-89.47865206655115,-89.47865206655115,-388.1613246237138,-1552.6452984948553,0.8622072925791144,14.961329551477073
6,20300.0,2,300.0,420.0,-89.4786520684138,-89.4786520684138,-388.1613246317942,-1552.6452985271767,0.8622072944417596,14.961329583798364
7,19170.0,2,300.0,420.0,-89.4786520646885,-89.4786520646885,-388.16132461563353,-1552.6452984625341,0.8622072907164693,14.96132951915578
8,18040.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
9,16910.0,2,300.0,420.0,-89.47866638656706,-89.47866638656706,-388.1613867452321,-1552.6455469809284,0.8622072953730822,14.96132960002221
10,16450.0,2,300.0,420.0,-89.53683440759778,-89.53683440759778,-388.4137248597621,-1553.6548994390484,0.8622081596404314,14.96134485388798
11,,0,0.0,0.0,-89.54023378808051,-89.54023378808051,-388.42847167861845,-1553.7138867144738,0.0,0.0
12,16350.0,2,300.0,420.0,-89.53594768140465,-89.53594768140465,-388.4098781616348,-1553.6395126465393,0.8622081400826573,14.961344510599938
13,16810.0,2,300.0,420.0,-89.47866596002132,-89.47866596002132,-388.1613848948383,-1552.6455395793532,0.8622072990983725,14.961329664662891
14,17940.0,2,300.0,420.0,-89.47865207120776,-89.47865207120776,-388.1613246439146,-1552.6452985756584,0.8622072972357273,14.961329632280295
15,19070.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
16,20200.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
17,21330.0,2,300.0,420.0,-89.47865206375718,-89.47865206375718,-388.1613246115934,-1552.6452984463735,0.8622072897851467,14.96132950299514
18,22460.0,2,300.0,420.0,-89.4786520730704,-89.4786520730704,-388.16132465199496,-1552.6452986079798,0.8622072990983725,14.961329664601585
19,23590.0,2,300.0,420.0,-89.47865206282586,-89.47865206282586,-388.1613246075532,-1552.6452984302127,0.8622072888538241,14.961329486834494
20,24710.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
21,25830.0,2,300.0,420.0,-89.47865207213908,-89.47865207213908,-388.16132464795476,-1552.645298591819,0.8622072981670499,14.961329648440943
