gap_id,e_max_m,rms_m
1,1.6370666656516404,1.370580728659683
2,1.6370345900526315,1.3831691097341814
3,1.6516170194539859,1.4081412902169046
4,1.6515839083814354,1.4207246488425538
5,1.6515500026431438,1.433195488912807
6,1.651517349105414,1.4455587511674026
7,1.6514839249827231,1.45781546942127
8,1.653245674850207,1.4708243072105116
9,7.952733327488299,4.428833883016052
10,6.44641002766978,5.661300626232356
11,6.4111468127489575,5.583904897778632
12,7.8419034689349205,4.3699814959122305
13,1.6531912573903798,1.471869622963311
14,1.6514809440690543,1.4588953463899037
15,1.6515137902530244,1.446647288623968
16,1.651548273930037,1.4342946131161018
17,1.651580566256066,1.4218320481389077
18,1.6516152184985389,1.4092604132314215
19,1.6370309348771217,1.3842867628050775
20,1.6370635884148514,1.3717093709420463
