satellite_id,command_time,start_time,complete_time,from_mode,to_mode
12,16350.0,16350.0,16470.0,L,H
10,16450.0,16450.0,16570.0,L,H
12,16770.0,16770.0,16890.0,H,L
13,16810.0,16810.0,16930.0,L,H
10,16870.0,16870.0,16990.0,H,L
9,16910.0,16910.0,17030.0,L,H
13,17230.0,17230.0,17350.0,H,L
9,17330.0,17330.0,17450.0,H,L
14,17940.0,17940.0,18060.0,L,H
8,18040.0,18040.0,18160.0,L,H
14,18360.0,18360.0,18480.0,H,L
8,18460.0,18460.0,18580.0,H,L
15,19070.0,19070.0,19190.0,L,H
7,19170.0,19170.0,19290.0,L,H
15,19490.0,19490.0,19610.0,H,L
7,19590.0,19590.0,19710.0,H,L
16,20200.0,20200.0,20320.0,L,H
6,20300.0,20300.0,20420.0,L,H
16,20620.0,20620.0,20740.0,H,L
6,20720.0,20720.0,20840.0,H,L
17,21330.0,21330.0,21450.0,L,H
5,21430.0,21430.0,21550.0,L,H
17,21750.0,21750.0,21870.0,H,L
5,21850.0,21850.0,21970.0,H,L
18,22460.0,22460.0,22580.0,L,H
4,22560.0,22560.0,22680.0,L,H
18,22880.0,22880.0,23000.0,H,L
4,22980.0,22980.0,23100.0,H,L
19,23590.0,23590.0,23710.0,L,H
3,23690.0,23690.0,23810.0,L,H
19,24010.0,24010.0,24130.0,H,L
3,24110.0,24110.0,24230.0,H,L
20,24710.0,24710.0,24830.0,L,H
2,24810.0,24810.0,24930.0,L,H
20,25130.0,25130.0,25250.0,H,L
2,25230.0,25230.0,25350.0,H,L
21,25830.0,25830.0,25950.0,L,H
1,25930.0,25930.0,26050.0,L,H
21,26250.0,26250.0,26370.0,H,L
1,26350.0,26350.0,26470.0,H,L
