case,h_on_m_s2,h_off_m_s2,e_max_m,rms_m,high_stable_total_h,high_equivalent_total_h,switch_count,mean_a_loss_m,extra_mean_a_loss_vs_low_m,extra_max_a_loss_vs_low_m,energy_loss_J,extra_energy_loss_J,reached_count,range_km,speed_left_m_s,speed_right_m_s,first_unreached_left,first_unreached_right,distal_equivalent_h,distal_switch_count,distal_extra_loss_sum_m
A_low,1.5e-07,1.4e-07,362.9555064344016,64.71012169118872,0.0,0.0,0,266.3022781136845,0.0,0.0,97041.68430305063,0.0,0,0.0,,,10,12,0.0,0,0.0
B_current,1.5e-07,1.4e-07,26.426062057921822,8.58580592929741,1.6666666666666667,2.3333333333333335,40,267.12592260140394,0.8236444877194506,0.8648274885490537,97341.83568908613,300.1513860355216,20,1000.0,20.26340711406774,20.26340711406773,,,1.6333333333333333,28,12.107572778128088
h_on_1.800e-07,1.8e-07,1.7000000000000001e-07,38.57525327868674,18.874599214550795,1.6666666666666667,2.3333333333333335,40,267.1259226014483,0.8236444877637994,0.8648274950683117,97341.8356891023,300.15138605168306,20,1000.0,6.927601066945473,6.92760106694547,,,1.6333333333333333,28,12.107572769746184
h_on_2.000e-07,2e-07,1.9e-07,46.678186476795894,24.028739480319224,1.6666666666666667,2.3333333333333335,40,267.12592260122653,0.8236444875420559,0.8648274904116988,97341.83568902148,300.1513859708757,20,1000.0,4.817862545586572,4.8178625455865705,,,1.6333333333333333,28,12.107572768814862
