gap_id,e_max_m,rms_m
1,5.272256328441721e-07,2.1802934951237062e-07
2,6.286518089166498e-07,2.520679620568079e-07
3,3.345793925507018e-07,2.495347369858894e-07
4,5.272256328441721e-07,1.5779059416334368e-07
5,2.433593283297092e-07,7.74362719340345e-08
6,5.272256328441721e-07,1.6152985788656723e-07
7,4.360055686231795e-07,1.8590115980616314e-07
8,0.006011860507750292,0.0033796574063464295
9,24.364909109623536,13.713327024390278
10,362.5841737695451,204.07380753417587
11,362.9555064344016,204.28277515869524
12,23.99375657920783,13.504461392205192
13,0.0058316450530116765,0.003277444289592663
14,6.286518089166498e-07,2.797641735103948e-07
15,5.272256328441721e-07,2.182395975791795e-07
16,1.0139442895035905e-06,3.193867709620848e-07
17,5.272256328441721e-07,1.5497264916975156e-07
18,2.433593283297092e-07,7.73942343836324e-08
19,5.272256328441721e-07,1.57575957841518e-07
20,4.360055686231795e-07,3.1819409268763483e-07
